"data_id","language","form","age","gender","mom_ed","comprehension","production"
32584,"Russian","WG",11,"Male",NA,136,4
32585,"Russian","WG",11,"Male",NA,225,24
32586,"Russian","WG",11,"Female",NA,215,9
32587,"Russian","WG",11,"Male",NA,207,17
32588,"Russian","WG",11,"Male",NA,82,11
32589,"Russian","WG",11,"Male",NA,62,15
32590,"Russian","WG",11,"Male",NA,229,6
32591,"Russian","WG",11,"Male",NA,35,3
32592,"Russian","WG",11,"Female",NA,117,0
32593,"Russian","WG",11,"Male",NA,95,0
32594,"Russian","WG",11,"Female",NA,103,14
32595,"Russian","WG",11,"Male",NA,121,20
32596,"Russian","WG",11,"Male",NA,20,0
32597,"Russian","WG",11,"Male",NA,66,5
32598,"Russian","WG",11,"Male",NA,135,6
32599,"Russian","WG",11,"Male",NA,106,9
32600,"Russian","WG",11,"Female",NA,105,5
32601,"Russian","WG",11,"Male",NA,110,1
32602,"Russian","WG",11,"Female",NA,110,6
32603,"Russian","WG",11,"Female",NA,227,1
32604,"Russian","WG",11,"Male",NA,104,17
32605,"Russian","WG",11,"Male",NA,262,11
32606,"Russian","WG",11,"Female",NA,239,14
32607,"Russian","WG",11,"Male",NA,126,2
32608,"Russian","WG",11,"Female",NA,48,0
32609,"Russian","WG",11,"Male",NA,16,5
32610,"Russian","WG",11,"Female",NA,38,3
32611,"Russian","WG",11,"Male",NA,112,0
32612,"Russian","WG",11,"Female",NA,114,0
32613,"Russian","WG",11,"Male",NA,97,0
32614,"Russian","WG",11,"Male",NA,211,21
32615,"Russian","WG",11,"Male",NA,56,1
32616,"Russian","WG",11,"Female",NA,178,9
32617,"Russian","WG",11,"Male",NA,174,14
32618,"Russian","WG",12,"Female",NA,206,53
32619,"Russian","WG",12,"Female",NA,198,5
32620,"Russian","WG",12,"Female",NA,313,33
32621,"Russian","WG",12,"Female",NA,50,2
32622,"Russian","WG",12,"Male",NA,152,23
32623,"Russian","WG",12,"Male",NA,129,21
32624,"Russian","WG",12,"Female",NA,353,98
32625,"Russian","WG",12,"Male",NA,183,3
32626,"Russian","WG",12,"Female",NA,214,3
32627,"Russian","WG",12,"Male",NA,62,8
32628,"Russian","WG",12,"Female",NA,120,18
32629,"Russian","WG",12,"Male",NA,231,12
32630,"Russian","WG",12,"Male",NA,86,11
32631,"Russian","WG",12,"Female",NA,313,15
32632,"Russian","WG",12,"Female",NA,129,11
32633,"Russian","WG",12,"Male",NA,117,2
32634,"Russian","WG",12,"Female",NA,153,18
32635,"Russian","WG",12,"Female",NA,124,24
32636,"Russian","WG",12,"Female",NA,228,27
